Open,Year,High,Month,Low,Close
43050,2015,44080,10,42990,43810
43310,2015,43520,10,42980,43200
43060,2015,43580,10,42940,43130
43330,2015,43680,10,43080,43400
42300,2015,43290,10,41830,42870
42000,2015,43530,10,41650,42730
43600,2015,43600,10,41970,42260
44440,2015,44910,10,43710,43900
49380,2015,49480,10,48350,48640
49750,2015,50190,10,48910,49800
50390,2015,50700,10,49580,50590
49260,2015,49940,10,49110,49730
49120,2015,49830,10,48600,48730
48370,2015,49940,10,48030,49300
47700,2015,48660,9,47280,48490
47140,2015,47370,9,46690,47150
46850,2015,47560,9,46400,47490
45410,2015,46800,9,45410,46800
45000,2015,46260,9,44660,45300
46710,2015,47245,9,46160,46160
47075,2015,47460,9,46665,47405
47550,2015,47885,9,45895,46375
46700,2015,47900,9,46655,47150
48060,2015,48250,9,46020,46365
46160,2015,47860,9,46060,47620
47625,2015,47995,9,45960,46925
46950,2015,49725,9,46260,49725
47155,2015,47270,9,45125,45170
46110,2015,47595,9,45270,46665
48150,2015,48345,9,46120,46465
49515,2015,49550,9,47510,47795
46845,2015,49595,9,46680,48400
48990,2015,49145,9,47480,47480
50430,2015,50640,8,48890,49265
50880,2015,51090,8,50070,50830
51000,2015,51380,8,49620,50290
47275,2015,50710,8,46210,50620
49900,2015,51450,8,47660,47975
51440,2015,52890,8,50120,50900
53130,2015,53680,8,52140,52170
53920,2015,54650,8,53250,54040
54130,2015,54740,8,53740,53860
55500,2015,55940,8,54400,54510
55390,2015,55620,8,55110,55500
55090,2015,55450,8,54470,54990
54880,2015,55720,8,54320,55510
55000,2015,55670,8,54000,54000
56540,2015,56760,8,55020,55550
56050,2015,57320,8,55910,56540
56430,2015,57080,8,56200,56700
58880,2015,58900,8,56920,57220
59580,2015,59960,8,58440,58480
60450,2015,61830,8,60360,61380
60820,2015,61280,8,60440,60740
61550,2015,61650,7,60670,61370
60800,2015,61970,7,60740,61930
59880,2015,60460,7,59480,60230
58050,2015,59460,7,57820,59370
57840,2015,58610,7,57520,58270
58900,2015,59080,7,58210,58250
58800,2015,60000,7,58700,59280
58510,2015,59180,7,58500,58790
57800,2015,59280,7,57580,59270
56840,2015,57440,7,56760,57220
56100,2015,56850,7,55900,56600
55840,2015,56070,7,55240,55670
55010,2015,55950,7,54780,55530
54000,2015,54690,7,53650,54530
56000,2015,56020,7,53740,54010
55200,2015,57460,7,54760,57460
56250,2015,56540,7,54810,55180
55920,2015,56250,7,55640,56250
54570,2015,55640,7,54320,54810
56130,2015,56280,7,54880,55740
57780,2015,58400,7,57200,57870
55850,2015,56660,7,55700,56610
54900,2015,55560,6,54530,55560
55500,2015,56180,6,54550,54560
56490,2015,56870,6,56130,56240
55390,2015,57000,6,55360,55970
55300,2015,55900,6,54900,55590
53960,2015,55080,6,53780,55080
52380,2015,53960,6,52350,53910
52340,2015,52570,6,52140,52170
52590,2015,52590,6,52080,52200
52550,2015,52720,6,52050,52560
52660,2015,53100,6,52340,52550
52320,2015,52770,6,52290,52740
53400,2015,53400,6,52440,52770
51390,2015,52980,6,51370,52980
50970,2015,51440,6,50580,51000
51390,2015,51580,6,50660,50660
51330,2015,51750,6,51250,51720
50690,2015,51060,6,50520,50960
51270,2015,51430,6,50640,50740
51250,2015,51270,6,50830,51030
51440,2015,51500,6,51030,51320
51120,2015,51440,6,50970,51250
50700,2015,51640,5,50550,51300
51270,2015,51490,5,50630,50970
50510,2015,50980,5,50460,50930
50750,2015,50950,5,50520,50880
50150,2015,50810,5,50150,50670
50010,2015,50400,5,49635,50300
50110,2015,50460,5,49995,50100
50280,2015,50630,5,50050,50200
49490,2015,50230,5,49250,50010
48505,2015,49130,5,48280,49035
48680,2015,48940,5,48410,48565
49055,2015,49150,5,48220,48275
48545,2015,49545,5,48130,49515
48250,2015,48620,5,47930,48335
47820,2015,48450,5,47660,48450
47100,2015,47790,5,47030,47120
47295,2015,47500,5,47015,47105
47205,2015,47830,5,47075,47590
48480,2015,48480,4,47295,47295
48600,2015,49145,4,48410,48930
48700,2015,48710,4,48050,48050
49225,2015,49435,4,48675,48705
49450,2015,49600,4,48965,49395
48830,2015,49340,4,48635,49245
48270,2015,48500,4,47730,48385
47600,2015,48310,4,47400,48075
48500,2015,48595,4,47750,47760
49220,2015,49270,4,48520,48600
49735,2015,49860,4,49030,49185
49835,2015,50080,4,49705,49805
50200,2015,50350,4,49750,50150
49500,2015,50650,4,49410,49700
47715,2015,48560,4,47685,48500
47380,2015,47580,4,47095,47580
47410,2015,47540,4,47020,47540
47395,2015,47620,4,47235,47300
47280,2015,47765,4,47200,47610
46865,2015,47280,4,46505,47115
47180,2015,47200,4,46410,46770
47500,2015,47585,3,46495,46495
46455,2015,47880,3,46430,47455
46610,2015,47280,3,45720,46225
46800,2015,47055,3,46210,46330
47125,2015,47255,3,46525,46925
47145,2015,47480,3,46865,46950
46900,2015,47275,3,46620,47145
45670,2015,46815,3,45670,46815
45585,2015,45930,3,45410,45475
46295,2015,46325,3,45760,46140
46810,2015,46845,3,46175,46200
46190,2015,46760,3,46160,46265
46165,2015,46520,3,45910,46275
45125,2015,45680,3,44840,45515
44190,2015,45395,3,44105,44920
45640,2015,45720,3,44255,44420
45680,2015,45885,3,45325,45340
46180,2015,46720,3,46015,46115
46010,2015,46285,3,45690,45690
45910,2015,46415,3,45770,46165
47000,2015,47035,3,46000,46040
46525,2015,47065,3,46300,46850
46150,2015,46665,2,46000,46330
45030,2015,46050,2,44940,45990
45000,2015,45195,2,44725,44905
44500,2015,45300,2,44440,45300
43545,2015,44455,2,43270,44355
43220,2015,43345,2,42810,42910
43780,2015,43970,2,43035,43065
43505,2015,43740,2,43325,43705
43850,2015,44040,2,43400,43505
44115,2015,44295,2,44000,44065
43940,2015,44250,2,43850,44005
44250,2015,44340,2,43870,44305
43615,2015,43690,2,43235,43435
44435,2015,44445,2,43900,43935
44175,2015,44270,2,43815,44005
43560,2015,43920,2,43425,43475
43100,2015,43890,2,42930,43850
43245,2015,43350,2,42055,42185
43400,2015,43740,2,43005,43055
44300,2015,44400,1,43720,44020
43165,2015,44220,1,43100,43675
42845,2015,43865,1,42720,43600
42870,2015,43380,1,42670,43160
41945,2015,42580,1,41900,42340
42970,2015,43095,1,42485,42645
42500,2015,42530,1,41800,42270
42800,2015,43090,1,42260,42385
41550,2015,42700,1,41455,42700
41850,2015,41900,1,41210,41530
41700,2015,41995,1,40610,41370
42270,2015,42945,1,41970,42945
43080,2015,43310,1,41860,41940
44060,2015,44295,1,43250,43575
45800,2015,46325,1,44350,44760
43650,2015,44550,1,43400,44405
43005,2015,43510,1,43005,43425
43365,2015,43745,1,43110,43255
43580,2015,44420,1,43295,44065
44800,2014,44975,12,44040,44040
45730,2014,45865,12,44205,44885
45650,2014,45700,12,45270,45330
45535,2014,45700,12,45425,45615
45155,2014,45880,12,44840,45830
44830,2014,44900,12,44440,44525
44330,2014,44730,12,44050,44730
42640,2014,43715,12,42525,43715
41700,2014,42080,12,41525,42070
41450,2014,41990,12,41335,41830
41525,2014,42765,12,41525,42295
42015,2014,42965,12,42015,42800
41705,2014,41995,12,41010,41910
42905,2014,43200,12,42150,42405
42825,2014,43620,12,42805,43415
43245,2014,43535,12,42930,43150
43250,2014,43520,12,43120,43240
44165,2014,44185,12,43500,43925
43300,2014,44385,12,43300,43795
43000,2014,43410,12,42950,43255
42715,2014,43540,12,42715,43425
42850,2014,43330,11,42730,43205
42260,2014,42850,11,42260,42625
42240,2014,42700,11,41940,42540
43175,2014,43370,11,42480,42570
42480,2014,43170,11,42110,43100
43470,2014,43495,11,42690,42845
43500,2014,43895,11,43000,43030
43025,2014,43590,11,42855,43535
43800,2014,43910,11,42215,42615
44665,2014,44730,11,43760,44205
43605,2014,44370,11,43110,44285
43670,2014,44350,11,43330,43480
41615,2014,43355,11,41580,43115
41800,2014,41900,11,41240,41430
42935,2014,42935,11,42100,42325
42750,2014,43335,11,41800,42235
41190,2014,42920,11,41100,42450
42465,2014,42485,11,41500,41500
38055,2014,40900,10,38015,40365
37145,2014,37715,10,37040,37680
36465,2014,37080,10,36280,36940
36700,2014,36875,10,36120,36135
37085,2014,37195,10,36810,36905
37000,2014,37050,10,36585,36745
36500,2014,37085,10,36460,36590
37085,2014,37160,10,36285,36840
37520,2014,37790,10,36625,36790
37445,2014,37940,10,37205,37905
37635,2014,37635,10,36570,36745
36575,2014,37145,10,36555,37020
37600,2014,37680,10,36960,37640
37500,2014,37740,10,36920,36930
38000,2014,38455,10,37000,37890
36875,2014,37845,10,36860,37255
36385,2014,36950,10,36365,36705
37355,2014,37490,10,36855,36965
37520,2014,37990,10,37260,37840
37810,2014,37880,10,36635,37370
36500,2014,36975,10,36260,36370
36615,2014,37210,10,36525,36780
36575,2014,36940,9,36520,36705
36795,2014,37050,9,36705,36810
36165,2014,36910,9,36160,36655
37000,2014,37170,9,36760,36865
35800,2014,36510,9,35755,36405
35880,2014,36270,9,35870,35970
35705,2014,36395,9,35655,36250
34640,2014,35065,9,34450,35005
34150,2014,34385,9,34075,34365
33505,2014,33950,9,33505,33795
34065,2014,34345,9,33900,34125
33695,2014,34185,9,33640,34135
33665,2014,33725,9,33415,33675
33960,2014,34070,9,33735,33900
34345,2014,34360,9,33845,33960
34375,2014,34400,9,34025,34035
33635,2014,34000,9,33550,33970
33910,2014,34250,9,33730,33735
32690,2014,33360,9,32615,33165
32685,2014,32700,9,32460,32540
32470,2014,32550,8,32220,32550
32905,2014,32935,8,32495,32665
33250,2014,33250,8,32970,33065
33310,2014,33355,8,32940,33000
33065,2014,33410,8,33055,33355
32885,2014,33150,8,32880,32900
32995,2014,33070,8,32900,32985
32825,2014,32935,8,32715,32800
33010,2014,33055,8,32845,32850
32900,2014,32985,8,32675,32695
33095,2014,33100,8,32885,33030
33000,2014,33160,8,32945,33005
32695,2014,32970,8,32655,32885
33000,2014,33220,8,32740,32885
33015,2014,33190,8,32685,33100
32800,2014,32990,8,32030,32105
33045,2014,33590,8,32970,33350
33480,2014,33810,8,33205,33320
33950,2014,34025,8,33520,33565
34010,2014,34285,8,33950,34075
34290,2014,34550,8,34105,34150
34395,2014,34740,7,34285,34405
33930,2014,34400,7,33920,33975
33610,2014,34055,7,33545,33970
32900,2014,33365,7,32835,33300
32360,2014,32785,7,32340,32750
32370,2014,32600,7,32180,32295
32350,2014,32465,7,32210,32280
32360,2014,32470,7,32225,32350
32375,2014,32580,7,32185,32355
32980,2014,33175,7,32860,32875
32960,2014,33020,7,32615,32890
32710,2014,33130,7,32710,33050
32875,2014,32945,7,32380,32760
32990,2014,33400,7,32555,32855
33235,2014,33685,7,33200,33505
33000,2014,33255,7,32800,33240
33380,2014,33535,7,33150,33220
33445,2014,33750,7,33310,33580
33740,2014,33750,7,33360,33420
33800,2014,33865,7,33330,33375
33520,2014,33775,7,33235,33335
33150,2014,33790,7,33030,33455
33635,2014,33790,6,33150,33330
34345,2014,34565,6,33400,33635
34550,2014,34645,6,34320,34590
34300,2014,34615,6,34215,34350
34280,2014,34895,6,34220,34700
34855,2014,34975,6,34635,34765
34325,2014,34770,6,34270,34415
33695,2014,34495,6,33530,34480
33330,2014,33785,6,33320,33605
33165,2014,33490,6,33140,33250
33610,2014,33835,6,32920,33150
32900,2014,34030,6,32900,33975
33925,2014,33940,6,33255,33510
34300,2014,34610,6,34110,34215
34780,2014,35170,6,34215,34335
35075,2014,35170,6,34870,34880
34995,2014,35045,6,34525,34820
34440,2014,34895,6,34400,34820
34840,2014,35010,6,34110,34320
34990,2014,35055,6,34700,34990
33960,2014,34675,6,33850,34480
34215,2014,34410,5,33420,33590
33600,2014,34095,5,33600,34015
33825,2014,34170,5,33530,34040
33420,2014,34030,5,33400,33825
33305,2014,33580,5,33265,33555
32600,2014,33150,5,32560,32990
31940,2014,32550,5,31805,32550
31365,2014,31620,5,31225,31450
31570,2014,31980,5,31535,31790
31930,2014,32050,5,31365,31395
31210,2014,31745,5,31120,31710
32050,2014,32240,5,31790,31855
32635,2014,33055,5,32445,32445
32120,2014,32790,5,32015,32680
31315,2014,31715,5,31275,31580
31360,2014,31630,5,31265,31470
31320,2014,31900,5,31320,31565
31600,2014,31670,5,30950,30950
31755,2014,32220,5,31750,32040
31800,2014,32220,5,31700,32100
32140,2014,32230,4,31685,31770
32390,2014,32595,4,32010,32140
32575,2014,33220,4,32440,32770
33295,2014,33465,4,32830,32875
33120,2014,33430,4,32815,33275
33805,2014,34095,4,32840,32860
33825,2014,34260,4,33665,33700
33730,2014,34155,4,33560,33710
33605,2014,33745,4,33120,33430
32920,2014,33950,4,32800,33950
33205,2014,33250,4,32505,32660
33120,2014,33140,4,32225,32795
34610,2014,34875,4,33030,33820
37700,2014,37795,4,36385,36710
37950,2014,38195,4,37250,37250
38070,2014,38770,4,37920,38220
37965,2014,38400,4,37905,37975
37960,2014,38685,4,37950,38665
37815,2014,38760,4,37700,38400
37400,2014,37935,4,36900,37730
37255,2014,37555,4,36960,36990
38005,2014,38165,3,37420,37435
37000,2014,38040,3,36975,37885
35715,2014,37265,3,35680,37170
36315,2014,36415,3,35850,35980
35985,2014,36305,3,35760,35925
35780,2014,36420,3,35320,36340
36605,2014,36650,3,35150,35405
35510,2014,36850,3,35235,36190
36110,2014,36250,3,35590,35590
35625,2014,35970,3,35425,35680
35740,2014,36075,3,35580,35850
37060,2014,37245,3,36565,36690
37160,2014,37250,3,36730,36760
37925,2014,38060,3,37600,37870
38170,2014,38645,3,37665,37690
38350,2014,38580,3,37955,38400
37070,2014,38125,3,36665,37650
36700,2014,37145,3,36600,36975
35780,2014,36070,3,35400,35890
34550,2014,35675,3,34550,35480
35605,2014,35700,2,34820,35050
35965,2014,35970,2,35360,35550
35785,2014,36670,2,35710,36180
36650,2014,36845,2,36305,36530
35300,2014,36080,2,35240,35995
34930,2014,35940,2,34900,35755
35230,2014,35375,2,34505,34525
35590,2014,36125,2,35490,35720
35290,2014,36685,2,34605,36265
34520,2014,35085,2,34425,34750
35625,2014,36030,2,34500,34600
36235,2014,36380,2,35600,35715
37600,2014,37795,2,36455,36630
36840,2014,37360,2,36620,37335
36480,2014,36520,2,36100,36260
35865,2014,36730,2,35805,35830
36705,2014,36895,2,35520,35960
36400,2014,36665,2,36000,36035
37410,2014,37580,2,37015,37185
39205,2014,39340,1,37500,38110
38670,2014,38815,1,37980,38765
38830,2014,39375,1,38700,39360
37895,2014,38130,1,37525,38130
37150,2014,37790,1,37120,37600
38135,2014,38475,1,37680,38215
39025,2014,39680,1,38740,38825
38500,2014,39070,1,38120,38840
38100,2014,39295,1,38100,39120
38300,2014,38400,1,37850,38005
38245,2014,39040,1,38200,38630
39210,2014,39500,1,38600,38820
39900,2014,39945,1,39215,39755
39050,2014,39800,1,38900,39015
40250,2014,41600,1,40200,41100
40450,2014,40550,1,39700,39800
40850,2014,41550,1,40750,41350
40200,2014,41250,1,40200,40500
42500,2014,42600,1,40900,40900
43400,2013,43800,12,42600,43400
43950,2013,44150,12,42650,43300
44800,2013,45350,12,43300,44050
42550,2013,44450,12,42350,44350
42800,2013,43300,12,42150,42350
40500,2013,41900,12,40500,41850
40150,2013,41050,12,39850,40750
37950,2013,39050,12,37900,39000
37850,2013,38300,12,37750,37950
38250,2013,38300,12,37350,37400
37000,2013,38400,12,37000,38100
37250,2013,37400,12,36700,37200
37600,2013,37900,12,37150,37700
38450,2013,38500,12,38000,38150
38300,2013,38750,12,38000,38700
36500,2013,37550,12,36500,37450
